"Film","subjectid","region","mean_od","dpm_mg_TE","receptor"
"D","A-M01","COApl",966.276666666667,3023.1774172082,"OTR"
"D","A-M01","AON",592.805,1854.70140243627,"OTR"
"D","A-M01","LS",482.333333333333,1509.07011542597,"OTR"
"D","A-M01","MEA",770.173333333333,2409.63143268418,"OTR"
"D","A-M01","NAcc",692.4,2166.30300190935,"OTR"
"D","A-M01","PiC",371.91,1163.59004829593,"OTR"
"B","A-M05","COApl",1195.16666666667,3739.30262533505,"OTR"
"B","A-M05","AON",871.351666666667,2726.18678685545,"OTR"
"B","A-M05","LS",718.951666666667,2249.37486095859,"OTR"
"B","A-M05","MEA",994.31,3110.88494775922,"OTR"
"B","A-M05","NAcc",788.78,2467.8458721058,"OTR"
"B","A-M05","PiC",599.423333333333,1875.40809707468,"OTR"
"B","A-M07","COApl",876.09,2741.0115495996,"OTR"
"B","A-M07","AON",883.063333333333,2762.82892818613,"OTR"
"B","A-M07","LS",646.165,2021.64815024372,"OTR"
"B","A-M07","MEA",685.886666666667,2145.9248194246,"OTR"
"B","A-M07","NAcc",872.561666666667,2729.97249834059,"OTR"
"B","A-M07","PiC",539.225,1687.06634344969,"OTR"
"B","A-M09","COApl",848.63,2655.09779969718,"OTR"
"B","A-M09","LS",547.555,1713.12830764078,"OTR"
"B","A-M09","MEA",677.123333333333,2118.50709078981,"OTR"
"B","A-M09","NAcc",649.815,2033.0678584427,"OTR"
"B","A-M09","PiC",335.636666666667,1050.10213539984,"OTR"
"E","B-M01","COApl",957.093333333333,2994.44563995873,"OTR"
"E","B-M01","AON",372.84,1166.49972737129,"OTR"
"E","B-M01","LS",633.318333333333,1981.45494896624,"OTR"
"E","B-M01","MEA",606.121428571429,1896.3643417618,"OTR"
"E","B-M01","NAcc",841.281666666667,2632.10716341898,"OTR"
"E","B-M01","PiC",391.223333333333,1224.01542665653,"OTR"
"D","B-M02","COApl",1044.51,3267.94504408482,"OTR"
"D","B-M02","AON",625.74,1957.74471463714,"OTR"
"D","B-M02","LS",613.151666666667,1918.35975754726,"OTR"
"D","B-M02","MEA",1027.405,3214.42884990854,"OTR"
"D","B-M02","NAcc",699.968333333333,2189.98194936667,"OTR"
"D","B-M02","PiC",532.3075,1665.42364989726,"OTR"
"C","B-M03","COApl",1040.1,3254.14753363072,"OTR"
"C","B-M03","AON",648.303333333333,2028.33832632559,"OTR"
"C","B-M03","LS",577.27,1806.09724712913,"OTR"
"C","B-M03","MEA",865.823333333333,2708.89036124084,"OTR"
"C","B-M03","NAcc",937.565,2933.34759385491,"OTR"
"C","B-M03","PiC",504.818333333333,1579.41864661882,"OTR"
"C","B-M04","COApl",1231.35,3852.50895638514,"OTR"
"C","B-M04","AON",311.025,973.099929475527,"OTR"
"C","B-M04","LS",603.613333333333,1888.51729634966,"OTR"
"C","B-M04","MEA",999.668333333333,3127.6494965536,"OTR"
"C","B-M04","NAcc",533.236666666667,1668.3307217333,"OTR"
"C","B-M04","PiC",566.95,1773.80919545422,"OTR"
"A","C-M02","COApl",867.045,2712.71257407639,"OTR"
"A","C-M02","AON",477.29,1493.29110309259,"OTR"
"A","C-M02","LS",632.333333333333,1978.37319209611,"OTR"
"A","C-M02","MEA",837.963333333333,2621.72513646731,"OTR"
"A","C-M02","NAcc",696.536666666667,2179.24533786818,"OTR"
"A","C-M02","PiC",568.741666666667,1779.41475998112,"OTR"
"B","C-M03","COApl",1048.73666666667,3281.16896188966,"OTR"
"B","C-M03","AON",859.583333333333,2689.36735325136,"OTR"
"B","C-M03","LS",888.39,2779.49440188655,"OTR"
"B","C-M03","MEA",760.02,2377.86482887224,"OTR"
"B","C-M03","NAcc",922.071666666667,2884.87380051351,"OTR"
"B","C-M03","PiC",521.718333333333,1632.29345992366,"OTR"
"A","C-M04","COApl",897.743333333333,2808.75805595624,"OTR"
"A","C-M04","AON",704.1475,2203.05725453056,"OTR"
"A","C-M04","LS",769.248333333333,2406.73739704472,"OTR"
"A","C-M04","MEA",889.961666666667,2784.41165523432,"OTR"
"A","C-M04","NAcc",812.281666666667,2541.37523526275,"OTR"
"A","C-M04","PiC",767.645,2401.72106860298,"OTR"
"E","C-M09","COApl",940.431666666667,2942.31649709794,"OTR"
"E","C-M09","AON",666.916666666667,2086.57362366172,"OTR"
"E","C-M09","LS",844.34,2641.67573170442,"OTR"
"E","C-M09","MEA",899.28,2813.5658052528,"OTR"
"E","C-M09","NAcc",874.736666666667,2736.7773929523,"OTR"
"E","C-M09","PiC",642.78,2011.05754414687,"OTR"
"B","D-M01","COApl",1219.37,3815.02728399509,"OTR"
"B","D-M01","AON",584.298,1828.08566061471,"OTR"
"B","D-M01","LS",569.556666666667,1781.96464003102,"OTR"
"B","D-M01","MEA",931.733333333333,2915.1021331297,"OTR"
"B","D-M01","NAcc",239.665,749.836812467654,"OTR"
"B","D-M01","PiC",375.385,1174.46223623879,"OTR"
"C","D-M03","COApl",1219.15333333333,3814.34940177323,"OTR"
"C","D-M03","AON",545.286666666667,1706.0314022258,"OTR"
"C","D-M03","LS",663.905,2077.15106077791,"OTR"
"C","D-M03","MEA",1056.305,3304.84790934699,"OTR"
"C","D-M03","NAcc",984.33,3079.66064972477,"OTR"
"C","D-M03","PiC",443.161666666667,1386.51422419288,"OTR"
"C","D-M05","COApl",1119.18,3501.56411565122,"OTR"
"C","D-M05","AON",705.883333333333,2208.48813402336,"OTR"
"C","D-M05","LS",774.546666666667,2423.31422460843,"OTR"
"C","D-M05","MEA",700.96,2193.08456415132,"OTR"
"C","D-M05","NAcc",1005.18333333333,3144.90420633917,"OTR"
