Timestamp,Actor,Behavior,Recipient,Location,Observer,Notes
10/14/2014 11:57,Start,Start,Start,Start,CW,
10/14/2014 12:03,6,Mounting,10,NB4,CW,
10/14/2014 12:04,6,Fighting,5,NB5,CW,
10/14/2014 12:19,3,Fighting,4,ML,CW,
10/14/2014 12:28,4,Subordinate,10,LL,CW,
10/14/2014 12:30,4,Fighting,2,NB1,CW,
10/14/2014 12:34,4,Fighting,2,NB5,CW,
10/14/2014 12:40,4,Subordinate,1,NB5,CW,
10/14/2014 12:44,4,Chasing,11,"LL, LR",CW,
10/14/2014 12:44,4,Fighting,1,LR,CW,
10/14/2014 12:46,5,Subordinate,1,MR,CW,
10/14/2014 12:48,4,Chasing,1,LL,CW,
10/14/2014 12:50,4,Chasing,1,LR,CW,
10/14/2014 12:51,4,Fighting,8,NB5,CW,
10/14/2014 13:03,5,Subordinate,1,LL,CW,
10/14/2014 13:14,4,Fighting,2,UR,CW,
10/14/2014 13:21,1,Chasing,8,"UR, MR",CW,
10/14/2014 13:23,4,Fighting,5,NB5,CW,
10/14/2014 13:26,9,Chasing,11,MR,CW,
10/14/2014 13:30,"2, 4",Fighting,"2, 4",LR,CW,
10/14/2014 13:31,4,Fighting,5,NB4,CW,
10/14/2014 13:32,6,Fighting,2,LL,CW,
10/14/2014 13:34,4,Chasing,7,"LL, LR",CW,
10/14/2014 13:37,6,Mounting,10,UL,CW,
10/14/2014 13:39,6,Mounting,1,MR,CW,
10/14/2014 13:39,4,Chasing,3,LR,CW,
10/14/2014 13:40,4,Chasing,11,LR,CW,
10/14/2014 13:42,4,Fighting,2,NB1,CW,
10/14/2014 13:46,3,Mounting,6,UL,CW,
10/14/2014 13:59,End,End,End,End,CW,
10/15/2014 16:01,Start,Start,Start,Start,HHG,
10/15/2014 16:46,12,"Fighting, Chasing",8,NB4,HHG,
10/15/2014 16:53,12,Chasing,4,LR,HHG,
10/15/2014 17:01,3,Chasing,7,LR,HHG,
10/15/2014 17:08,12,Chasing,7,MR,HHG,
10/15/2014 17:11,3,Chasing,7,AllOver,HHG,
10/15/2014 17:16,3,Chasing,7,UR,HHG,
10/15/2014 17:18,3,Chasing,7,ML,HHG,
10/15/2014 17:18,12,Chasing,3,MR,HHG,
10/15/2014 17:19,12,Induce-flee,5,NB5,HHG,
10/15/2014 17:20,3,Chasing,7,UR,HHG,
10/15/2014 17:22,12,Chasing,8,LR,HHG,
10/15/2014 17:26,9,Chasing,11,UL,HHG,
10/15/2014 17:27,9,Chasing,11,MR,HHG,
10/15/2014 17:32,3,Chasing,5,MR,HHG,
10/15/2014 17:35,12,Chasing,2,LL,HHG,
10/15/2014 17:51,12,Chasing,6,LL,HHG,
10/15/2014 17:51,12,Chasing,5,LL,HHG,
10/15/2014 17:54,12,Chasing,5,UL,HHG,
10/15/2014 17:57,2,Chasing,8,LL,HHG,
10/15/2014 18:00,End,End,End,End,HHG,
10/16/2014 11:57,Start,Start,Start,Start,CW,
10/16/2014 11:59,4,Chasing,10,UR,CW,
10/16/2014 12:02,4,Chasing,6,UR,CW,
10/16/2014 12:04,4,Chasing,9,"UL, ML",CW,
10/16/2014 12:05,4,Subordinate,2,NB5,CW,
10/16/2014 12:06,4,Chasing,6,"UL, UR",CW,
10/16/2014 12:07,4,Chasing,9,MR,CW,
10/16/2014 12:07,2,Subordinate,9,LR,CW,
10/16/2014 12:14,4,Chasing,7,UR,CW,
10/16/2014 12:14,4,Fighting,11,LR,CW,
10/16/2014 12:17,4,"Chasing, Mounting",11,"UL, UR",CW,
10/16/2014 12:19,7,Chasing,2,UR,CW,
10/16/2014 12:19,4,Chasing,10,UL,CW,
10/16/2014 12:20,4,Fighting,2,MR,CW,
10/16/2014 12:20,7,Subordinate,2,UR,CW,
10/16/2014 12:21,4,Chasing,1,"UL, UR",CW,
