"Timestamp","Actor","Behavior","Recipient","Location","Observer","Notes"
"10/14/2014 14:58:45","Start","Start","Start","Start","AM",""
"10/14/2014 15:00:30","4","Subordinate","1","UL","AM",""
"10/14/2014 15:02:06","4","Fighting, Mounting","7","NB3","AM",""
"10/14/2014 15:03:18","6","Chasing","5","MR","AM",""
"10/14/2014 15:07:01","10","Fighting","2, 5, 9","LR","AM",""
"10/14/2014 15:07:29","10","Mounting","2","LR","AM",""
"10/14/2014 15:07:56","7","Fighting","9","LR","AM",""
"10/14/2014 15:10:22","9","Fighting, Chasing","1","NB5","AM",""
"10/14/2014 15:10:47","9","Fighting","2","NB5","AM",""
"10/14/2014 15:14:25","7, 9","Fighting","7, 9","UL","AM",""
"10/14/2014 15:15:23","9","Chasing","1","UR","AM",""
"10/14/2014 15:16:30","10","Subordinate","6","LL","AM",""
"10/14/2014 15:16:45","10","Subordinate","6","LL","AM",""
"10/14/2014 15:17:29","4","Subordinate","1","MR","AM",""
"10/14/2014 15:18:14","8","Chasing, Subordinate","4","ML","AM",""
"10/14/2014 15:19:44","9","Chasing","7","UR","AM",""
"10/14/2014 15:20:43","9","Fighting, Chasing","1","LR","AM",""
"10/14/2014 15:21:21","9","Chasing","3","LR","AM",""
"10/14/2014 15:21:44","9","Chasing","2","MR","AM",""
"10/14/2014 15:22:20","4","Fighting","1","UL","AM",""
"10/14/2014 15:23:11","9","Subordinate","7","UR","AM",""
"10/14/2014 15:23:35","9","Chasing","8","UR","AM",""
"10/14/2014 15:24:48","9","Induce-flee","1","UL","AM",""
"10/14/2014 15:25:44","7","Subordinate","1, 2","NB3","AM",""
"10/14/2014 15:26:02","4","Chasing, Mounting","3","UR","AM",""
"10/14/2014 15:26:55","10","Subordinate","6","UR","AM",""
"10/14/2014 15:32:45","8","Fighting, Subordinate","1","NB2","AM",""
"10/14/2014 15:37:43","9","Fighting, Subordinate","10","NB1","AM",""
"10/14/2014 15:40:01","4","Subordinate","2","NB5","AM",""
"10/14/2014 15:43:00","7","Subordinate","1","UR","AM",""
"10/14/2014 15:46:48","4","Mounting","2","UR","AM",""
"10/14/2014 15:47:39","9","Fighting","1","NB3","AM",""
"10/14/2014 15:51:02","4","Mounting","3","LR","AM",""
"10/14/2014 15:51:46","7","Subordinate","8","NB3","AM",""
"10/14/2014 15:53:08","7","Subordinate","1","UL","AM",""
"10/14/2014 15:57:32","9","Subordinate","1","LR","AM",""
"10/14/2014 15:59:53","8","Chasing","5","NB2","AM",""
"10/14/2014 16:02:38","4","Mounting","5","LL","AM",""
"10/14/2014 16:03:00","4","Mounting","2","LR","AM",""
"10/14/2014 16:04:06","10","Mounting","8","MR","AM",""
"10/14/2014 16:05:27","9","Chasing","4","UR","AM",""
"10/14/2014 16:08:33","7","Subordinate","6","ML","AM",""
"10/14/2014 16:09:53","8","Chasing","12","LR","AM",""
"10/14/2014 16:10:36","7","Chasing, Subordinate","1","UL","AM",""
"10/14/2014 16:11:50","7","Subordinate","1","LL","AM",""
"10/14/2014 16:14:12","8","Subordinate","1","UR","AM",""
"10/14/2014 16:14:44","9","Subordinate","1, 10","UR","AM",""
"10/14/2014 16:18:43","7","Mounting","8","MR","AM",""
"10/14/2014 16:20:04","9","Induce-flee","1","MR","AM",""
"10/14/2014 16:22:01","1, 3","Fighting","1, 3","LR","AM",""
"10/14/2014 16:23:34","1, 3","Fighting","1, 3","LL","AM",""
"10/14/2014 16:24:07","4","Mounting","3","LL","AM",""
"10/14/2014 16:24:47","3","Chasing","4","LR","AM",""
"10/14/2014 16:26:01","1","Subordinate","2","UR","AM",""
"10/14/2014 16:29:24","11","Subordinate","1","LL","AM",""
"10/14/2014 16:30:28","10","Chasing","7","LR","AM",""
"10/14/2014 16:31:57","4","Fighting","1, 12","UR","AM",""
"10/14/2014 16:37:56","9","Chasing","1, 6","UR","AM",""
"10/14/2014 16:40:53","10","Mounting","2","UR","AM",""
"10/14/2014 16:46:48","4","Chasing","1","UL","AM",""
"10/14/2014 16:47:17","6","Subordinate","12","ML","AM",""
"10/14/2014 16:47:59","10","Mounting","8","LL","AM",""
"10/14/2014 16:49:18","8","Subordinate","1","LL","AM",""
"10/14/2014 16:51:59","4","Mounting","2","UL","AM",""
"10/14/2014 16:52:45","7","Subordinate","8","NB3","AM",""
"10/14/2014 16:54:02","4","Fighting","2","NB2","AM",""
"10/14/2014 16:55:57","4","Induce-flee","1","ML","AM",""
"10/14/2014 16:58:21","End","End","End","End","AM",""
"10/15/2014 12:07:53","Start","Start","Start","Start","KW",""
"10/15/2014 12:08:54","7","Chasing","2","UR","KW",""
"10/15/2014 12:10:07","4","Fighting","5","LL, LR","KW",""
"10/15/2014 12:10:07","4","Fighting","5","LL, LR","KW",""
"10/15/2014 12:11:30","2","Fighting","4","NB1","KW","long fight. 10 seconds.4 ran away in the end"
"10/15/2014 12:14:32","2","Chasing","11","UL","KW",""
"10/15/2014 12:14:34","2","Chasing","11","UL","KW",""
"10/15/2014 12:15:01","2","Chasing","12","LL","KW",""
"10/15/2014 12:19:00","7","Fighting","1","MR","KW",""
"10/15/2014 12:20:56","7","Chasing","1","LR","KW",""
"10/15/2014 12:31:02","4","Fighting","12","LL","KW",""
"10/15/2014 12:33:13","6","Chasing","11","MR","KW",""
"10/15/2014 12:33:53","2","Chasing","9","NB5","KW",""
"10/15/2014 12:38:49","6","Fighting, Chasing","5","LR","KW","chase looped from lr to ll to ml to mr back to ll"
"10/15/2014 12:40:06","6","Subordinate","11","ML","KW",""
"10/15/2014 12:40:44","4","Fighting","6","MR","KW",""
"10/15/2014 12:52:56","6","Chasing","1","LR","KW",""
"10/15/2014 12:55:35","6","Chasing","1","UL","KW",""
"10/15/2014 12:59:53","End","End","End","End","KW",""
"10/15/2014 16:18:56","4","Chasing","7","UL","CW",""
"10/15/2014 16:19:29","6","Chasing","5","UR","CW",""
"10/15/2014 16:20:19","9","Chasing","2","UL","CW",""
"10/15/2014 16:25:45","8","Subordinate","12","NB2","CW",""
"10/15/2014 16:28:48","4","Chasing","2","LR","CW",""
"10/15/2014 16:31:07","4","Chasing","10","UL","CW",""
"10/15/2014 16:31:24","4","Chasing","8","UR","CW",""
"10/15/2014 16:32:22","4","Chasing","2","LR","CW",""
"10/15/2014 16:38:34","4","Chasing","2","LR","KW",""
"10/15/2014 16:38:59","4","Fighting","10","LR","KW",""
"10/15/2014 16:40:00","4","Chasing","12","UL","KW",""
"10/15/2014 16:43:08","2","Fighting, Chasing","4","LL","KW","complex, long fight. 4 chased 2 into nb 2 and then 2 became the agressor and 4 fleed"
"10/15/2014 16:44:26","4","Fighting","10","MR","KW",""
"10/15/2014 17:05:06","6","Fighting, Chasing","5","LR","KW",""
"10/15/2014 17:06:09","12","Chasing, Mounting","1","UR","KW",""
"10/15/2014 17:07:19","7","Chasing","1","UL","KW",""
"10/15/2014 17:07:42","7","Chasing","11","UR","KW",""
"10/15/2014 17:10:35","4","Fighting","1","UR","KW",""
"10/15/2014 17:12:28","4","Fighting","12","UL","KW","4, 1, & 12. were in ul. 1 escaped and it seemed like 4 confused 12 for 1 and continued attacking"
"10/15/2014 17:12:46","7","Chasing","1","ML","KW",""
"10/15/2014 17:13:46","4","Chasing","1","MR","KW",""
"10/15/2014 17:17:19","4","Induce-flee","6","MR","KW",""
"10/15/2014 17:21:14","4","Induce-flee","5","LL","KW",""
"10/15/2014 17:22:15","End","End","End","End","KW",""
"10/16/2014 17:59:27","Start","Start","Start","Start","AR",""
"10/16/2014 18:06:30","7","Chasing","9","LL","AR",""
"10/16/2014 18:08:01","5","Chasing","7","MR","AR",""
"10/16/2014 18:08:42","7","Fighting","1","MR","AR",""
"10/16/2014 18:09:57","4","Fighting, Chasing","10","MR","AR",""
"10/16/2014 18:13:34","4","Chasing","11","UL","AR",""
"10/16/2014 18:15:27","5","Fighting, Chasing","7","ML","AR",""
"10/16/2014 18:16:44","1","Chasing","10","NB4","AR",""
"10/16/2014 18:17:18","5","Fighting, Chasing","10","LL","AR",""
"10/16/2014 18:19:28","5","Fighting, Chasing","8","MR","AR",""
"10/16/2014 18:20:22","5","Chasing","9","MR","AR",""
"10/16/2014 18:20:38","5","Fighting","11","ML","AR",""
"10/16/2014 18:23:03","5","Fighting, Chasing","12","MR","AR",""
"10/16/2014 18:23:27","5","Fighting","8","UL","AR",""
"10/16/2014 18:24:31","5","Chasing","12","UR","AR",""
"10/16/2014 18:35:25","7","Chasing","1","ML","AR",""
"10/16/2014 18:36:04","6","Chasing","8","NB5","AR",""
"10/16/2014 18:40:36","1","Chasing","3","UR","AR",""
"10/16/2014 18:45:36","8","Chasing","1","MR","AR",""
"10/16/2014 18:53:30","8","Chasing","3","MR","AR",""
"10/16/2014 18:57:12","5","Fighting","8","NB4","AR",""
"10/16/2014 19:04:48","7","Chasing","1","UL","AR",""
"10/16/2014 19:11:10","8","Chasing","6","MR","AR",""
"10/16/2014 19:14:06","5","Chasing","1","NB1","AR",""
"10/16/2014 19:19:22","5","Fighting","7","NB5","AR",""
"10/16/2014 19:19:37","5","Fighting","11","NB5","AR",""
"10/16/2014 19:21:33","5","Fighting, Chasing","8","MR","AR",""
"10/16/2014 19:24:52","5","Chasing","8","LR","AR",""
"10/16/2014 19:27:16","3","Fighting, Mounting","5","NB2","AR",""
"10/16/2014 19:27:49","9","Chasing","1","NB5","AR",""
"10/16/2014 19:36:05","5","Fighting, Chasing","1","NB2","AR",""
"10/16/2014 19:44:14","4","Fighting, Mounting","2","NB2","AR",""
"10/16/2014 19:46:37","5","Fighting, Chasing","10","UR","AR",""
"10/16/2014 19:52:59","5","Chasing","11","ML","AR",""
"10/16/2014 19:53:56","3","Fighting","7","NB2","AR",""
"10/16/2014 19:54:39","3","Chasing","4","NB3","AR",""
"10/16/2014 19:59:55","3","Chasing","5","LR","AR",""
"10/16/2014 20:00:08","3","Chasing","11","MR","AR",""
"10/16/2014 20:00:19","End","End","End","End","AR",""
"10/17/2014 11:57:55","Start","Start","Start","Start","CW",""
"10/17/2014 11:58:11","3","Chasing","4","NB5","CW",""
"10/17/2014 11:58:54","7","Chasing","6","ML","CW",""
"10/17/2014 11:59:23","8","Chasing","1","ML","CW",""
"10/17/2014 12:00:37","6","Chasing","10","LL","CW",""
"10/17/2014 12:01:32","7","Fighting, Chasing","9","LR","CW",""
"10/17/2014 12:02:19","7","Fighting","4","LR","CW",""
"10/17/2014 12:04:36","3","Chasing","7","MR","CW",""
"10/17/2014 12:05:02","7","Chasing","12","LL","CW",""
"10/17/2014 12:06:21","7","Chasing","4","MR","CW",""
"10/17/2014 12:07:55","7","Chasing","12","AllOver","CW",""
"10/17/2014 12:07:58","7","Chasing","12","AllOver","CW",""
"10/17/2014 12:09:31","7","Chasing","10","UL","CW",""
"10/17/2014 12:10:03","6","Fighting, Chasing","11","UL","CW",""
"10/17/2014 12:10:34","7","Fighting","10","LL","CW",""
"10/17/2014 12:11:38","3","Fighting, Chasing","7","MR","CW",""
"10/17/2014 12:12:01","3","Chasing","8","LR","CW",""
"10/17/2014 12:12:50","7","Chasing","6","UL","CW",""
"10/17/2014 12:14:17","7","Chasing","2","UL","CW",""
"10/17/2014 12:14:31","3","Chasing","7","UR","CW",""
"10/17/2014 12:15:54","6","Fighting, Chasing","11","MR","CW",""
"10/17/2014 12:16:20","7","Chasing","10","UR","CW",""
"10/17/2014 12:16:34","7","Subordinate","4","UL","CW",""
"10/17/2014 12:18:08","6","Chasing","8","LL","CW",""
"10/17/2014 12:18:20","3","Chasing","6","LL","CW",""
"10/17/2014 12:20:19","7","Chasing","11","UL","CW",""
"10/17/2014 12:21:54","7","Subordinate","11","NB4","CW",""
"10/17/2014 12:22:59","7","Chasing","1","LL","CW","started lower left, went all over he left side"
"10/17/2014 12:23:25","7","Chasing","11","UL","CW",""
"10/17/2014 12:23:55","7","Chasing","5","UL","CW",""
"10/17/2014 12:24:10","7","Chasing","11","UR","CW",""
"10/17/2014 12:25:31","7","Chasing","5","ML","CW",""
"10/17/2014 12:26:35","7","Chasing","10","UR","CW",""
"10/17/2014 12:28:02","7","Chasing","6","UR","CW",""
"10/17/2014 12:28:31","3, 7","Fighting","3, 7","NB2","CW",""
"10/17/2014 12:30:30","6","Chasing","11","UL","CW",""
"10/17/2014 12:30:45","6","Fighting, Chasing","8","AllOver","CW",""
"10/17/2014 12:31:15","7","Chasing","4","UR","CW",""
"10/17/2014 12:31:49","7","Fighting","10","LL","CW",""
"10/17/2014 12:33:41","7","Chasing","10","LR","CW",""
"10/17/2014 12:34:11","3","Fighting","10","NB5","CW",""
