Timestamp,Actor,Behavior,Recipient,Location,Observer,Notes,Outside assigned observation time
11/29/2015 10:59:20,Start,Start,Start,Start,XX,,
11/29/2015 11:08:09,10,Fighting,1,NB1,XX,,
11/29/2015 11:12:04,"4, 8",Fighting,"4, 8",NB1,XX,,
11/29/2015 11:12:26,12,Fighting,1,NB2,XX,,
11/29/2015 11:16:30,"4, 8",Fighting,"4, 8",NB4,XX,,
11/29/2015 11:17:34,"4, 6",Fighting,"4, 6",NB4,XX,,
11/29/2015 11:18:03,10,Fighting,3,NB1,XX,,
11/29/2015 11:21:31,"4, 6",Fighting,"4, 6",NB4,XX,,
11/29/2015 11:22:52,"4, 6",Fighting,"4, 6",NB5,XX,,
11/29/2015 11:28:05,"4, 6",Fighting,"4, 6",NB5,XX,,
11/29/2015 11:28:35,6,Fighting,3,NB1,XX,,
11/29/2015 11:37:23,6,Fighting,1,NB4,XX,,
11/29/2015 11:40:56,"5, 12",Fighting,"5, 12",UL,XX,,
11/29/2015 11:43:22,12,"Fighting, Mounting",9,UR,XX,,
11/29/2015 11:44:33,12,Mounting,9,UL,XX,,
11/29/2015 11:48:19,"2, 6",Fighting,"2, 6",NB3,XX,,
11/29/2015 11:56:06,6,Fighting,9,NB1,XX,,
11/29/2015 11:56:54,"6, 7",Fighting,"6, 7",NB5,XX,,
11/29/2015 12:00:05,End,End,End,End,XX,,
11/29/2015 12:00:27,Start,Start,Start,Start,XX,,
11/29/2015 12:05:42,7,Chasing,3,LR,XX,,
11/29/2015 12:09:16,6,Chasing,9,NB2,XX,,
11/29/2015 12:19:54,12,Fighting,1,NB2,XX,,
11/29/2015 12:26:42,12,Fighting,5,NB4,XX,,
11/29/2015 12:51:04,12,Mounting,2,UR,XX,,
11/29/2015 12:59:14,12,Mounting,1,LR,XX,,
11/29/2015 13:00:42,7,Fighting,2,NB3,XX,,
11/29/2015 13:01:19,7,Fighting,5,NB3,XX,,
11/29/2015 13:01:34,End,End,End,End,XX,,
11/30/2015 14:00:18,Start,Start,Start,Start,KB,,
11/30/2015 14:57:36,7,Chasing,6,LR,KB,,
11/30/2015 14:59:50,End,End,End,End,KB,,
11/30/2015 15:00:15,Start,Start,Start,Start,KB,,
11/30/2015 15:09:14,8,"Fighting, Chasing",2,UL,KB,,
11/30/2015 15:23:58,11,Fighting,2,LR,KB,,
11/30/2015 15:59:40,End,End,End,End,KB,,
12/1/2015 13:02:26,Start,Start,Start,Start,CC,,
12/1/2015 13:50:07,7,Fighting,12,UR,CC,,
12/1/2015 13:50:36,7,"Fighting, Chasing",12,UR,CC,,
12/1/2015 13:51:00,7,"Fighting, Chasing",12,UL,CC,,
12/1/2015 13:51:40,7,Fighting,12,NB5,CC,,
12/1/2015 13:52:38,7,Fighting,12,NB5,CC,,
12/1/2015 14:00:12,End,End,End,End,CC,,
12/1/2015 14:00:25,Start,Start,Start,Start,CC,,
12/1/2015 14:01:03,7,Subordinate,10,LR,CC,,
12/1/2015 14:27:09,8,Chasing,9,LL,CC,,
12/1/2015 14:31:32,"7, 11",Fighting,"7, 11",UL,CC,,
12/1/2015 14:32:46,5,Fighting,2,LL,CC,,
12/1/2015 14:43:45,7,Chasing,6,MR,CC,,
12/1/2015 14:44:22,7,Fighting,1,LR,CC,,
12/1/2015 14:48:43,7,Induce-flee,9,UL,CC,,
12/1/2015 14:48:56,7,Chasing,11,UL,CC,,
12/1/2015 14:54:56,7,Chasing,11,UR,CC,,
12/1/2015 14:55:44,7,"Fighting, Chasing",11,LL,CC,,
12/1/2015 14:59:52,7,Chasing,12,MR,CC,,
12/1/2015 15:00:32,End,End,End,End,CC,,
12/2/2015 12:03:06,Start,Start,Start,Start,HD,,
12/2/2015 12:10:15,7,Fighting,6,MR,HD,,
12/2/2015 12:12:35,7,Chasing,6,MR,HD,,
12/2/2015 12:14:13,7,Chasing,9,LL,HD,,
12/2/2015 12:19:50,7,"Fighting, Chasing",9,ML,HD,,
12/2/2015 12:24:56,10,Chasing,4,MR,HD,,
12/2/2015 12:25:22,7,"Fighting, Chasing",11,LR,HD,,
12/2/2015 12:38:53,10,Chasing,4,MR,HD,,
12/2/2015 12:43:21,7,Chasing,5,LL,HD,,
12/2/2015 12:46:31,7,Chasing,6,LL,HD,,
12/2/2015 12:52:39,7,Chasing,12,MR,HD,,
