Label,Film,Mean
C06-M05.tif:Nacc_l_1,B,980.56
C06-M05.tif:Nacc_r_1,B,840.41
C06-M05.tif:Nacc_c_1,B,139.4
C06-M05.tif:Nacc_l_2,B,890.53
C06-M05.tif:Nacc_r_2,B,870.31
C06-M05.tif:Nacc_c_2,B,146.86
C06-M05.tif:Nacc_l_3,B,947.39
C06-M05.tif:Nacc_r_3,B,948.2
C06-M05.tif:Nacc_c_3,B,86.1
C06-M05.tif:AON_l_1,B,1236.42
C06-M05.tif:AON_r_1,B,1116.02
C06-M05.tif:AON_c_1,B,82.91
C06-M05.tif:AON_l_2,B,1080.75
C06-M05.tif:AON_r_2,B,1092.7
C06-M05.tif:AON_c_2,B,301.35
C06-M05.tif:AON_l_3,B,975.74
C06-M05.tif:AON_r_3,B,891.46
C06-M05.tif:AON_c_3,B,198.23
C06-M05.tif:MEA_l_4,B,1007.43
C06-M05.tif:Aco_l_1,B,1200.73
C06-M05.tif:MEA_c_1,B,135.05
C06-M05.tif:MEA_r_1,B,1109.01
C06-M05.tif:Aco_r_1,B,1447.18
C06-M05.tif:MEA_l_5,B,1045.22
C06-M05.tif:Aco_l_2,B,1372.54
C06-M05.tif:MEA_c_2,B,154.39
C06-M05.tif:Aco_r_2,B,1491.82
C06-M05.tif:MEA_r_2,B,1142.98
C06-M05.tif:MEA_l_3,B,1232.11
C06-M05.tif:Aco_l_3,B,1185.52
C06-M05.tif:MEA_c_3,B,121.77
C06-M05.tif:MEA_r_4,B,1257.77
C06-M05.tif:Aco_r_4,B,1331.27
C06-M05.tif:LS_l_1,B,891.01
C06-M05.tif:LS_r_1,B,792.55
C06-M05.tif:LS_c_1,B,73.1
C06-M05.tif:PiC_r_1,B,681.61
C06-M05.tif:PiC_l_1,B,681.3
C06-M05.tif:LS_l_2,B,793.26
C06-M05.tif:LS_r_2,B,751.56
C06-M05.tif:LS_l_3,B,814.53
C06-M05.tif:LS_r_3,B,777.42
C06-M05.tif:PiC_l_3,B,694.16
C06-M05.tif:PiC_r_3,B,643.61
C06-M05.tif:LS_c_3,B,63.51
C06-M05.tif:LS_c_2,B,116.7
C06-M05.tif:PiC_r_2,B,750.59
C06-M05.tif:PiC_l_2,B,651.89
C06-M05.tif:MEA_c_4,B,157.41
C06-M05.tif:MEA_c_5,B,102.63
C06-M07.tif:LS_l_1,B,790.83
C06-M07.tif:LS_r_1,B,807.95
C06-M07.tif:LS_c_1,B,65.41
C06-M07.tif:PiC_l_1,B,604.64
C06-M07.tif:PiC_r_1,B,623.03
C06-M07.tif:LS_l_2,B,683.44
C06-M07.tif:LS_r_2,B,909.48
C06-M07.tif:PiC_r_2,B,544.44
C06-M07.tif:PiC_l_2,B,606.19
C06-M07.tif:LS_c_2,B,92.85
C06-M07.tif:LS_l_3,B,662.98
C06-M07.tif:LS_r_3,B,584.69
C06-M07.tif:PiC_l_3,B,623.05
C06-M07.tif:PiC_r_3,B,796.38
C06-M07.tif:LS_c_3,B,122.93
C06-M07.tif:Nacc_l_1,B,1053.41
C06-M07.tif:Nacc_r_1,B,1033.04
C06-M07.tif:Nacc_c_1,B,211.43
C06-M07.tif:Nacc_l_2,B,1221.92
C06-M07.tif:Nacc_r_2,B,1221.84
C06-M07.tif:Nacc_c_2,B,337.34
C06-M07.tif:Nacc_l_3,B,1215.01
C06-M07.tif:Nacc_r_3,B,1064.33
C06-M07.tif:Nacc_c_3,B,238.32
C06-M07.tif:AON_r_1,B,1303.48
C06-M07.tif:AON_l_1,B,1102.93
C06-M07.tif:AON_c_1,B,279.18
C06-M07.tif:AON_r_2,B,1064.41
C06-M07.tif:AON_c_2,B,150.99
C06-M07.tif:AON_l_2,B,1172.4
C06-M07.tif:AON_r_3,B,944.07
C06-M07.tif:AON_l_3,B,881.05
C06-M07.tif:AON_c_3,B,154.81
C06-M07.tif:MEA_l_5,B,806.86
C06-M07.tif:Aco_l_3,B,989.65
C06-M07.tif:MEA_c_5,B,62.4
C06-M07.tif:MEA_l_6,B,732.67
C06-M07.tif:Aco_l_6,B,848.05
C06-M07.tif:MEA_c_6,B,73.28
C06-M07.tif:MEA_l_4,B,716.07
C06-M07.tif:Aco_l_4,B,1161.4
C06-M07.tif:MEA_c_4,B,92.84
C06-M07.tif:MEA_r_1,B,804.14
C06-M07.tif:Aco_r_1,B,834.7
C06-M07.tif:MEA_c_1,B,72.85
C06-M07.tif:MEA_r_3,B,831.94
C06-M07.tif:Aco_r_3,B,954.18
C06-M07.tif:MEA_c_3,B,35.85
C06-M07.tif:MEA_r_2,B,641.99
C06-M07.tif:Aco_r_2,B,860.36
C06-M07.tif:MEA_c_2,B,81.13
C06-M09.tif:LS_l_1,B,1038.44
C06-M09.tif:LS_r_1,B,813.75
C06-M09.tif:LS_c_1,B,313.74
C06-M09.tif:PiC_l_1,B,871.79
C06-M09.tif:PiC_r_1,B,439.3
C06-M09.tif:LS_l_2,B,707.88
C06-M09.tif:LS_r_2,B,827.69
C06-M09.tif:PiC_l_2,B,587.87
C06-M09.tif:PiC_r_2,B,353.6
C06-M09.tif:LS_c_2,B,192.37
C06-M09.tif:Aco_l_3,B,1140.93
C06-M09.tif:Aco_l_2,B,1040.54
C06-M09.tif:MEA_l_2,B,1081.63
C06-M09.tif:Aco_l_4,B,1167.89
C06-M09.tif:MEA_l_4,B,735.12
C06-M09.tif:MEA_r_7,B,808.42
C06-M09.tif:Aco_r_7,B,1011.66
C06-M09.tif:MEA_c_2,B,173.72
C06-M09.tif:MEA_r_1,B,885.82
C06-M09.tif:Aco_r_1,B,762.54
C06-M09.tif:MEA_c_1,B,236.95
C06-M09.tif:MEA_r_5,B,958.13
C06-M09.tif:Aco_r_6,B,1171.84
C06-M09.tif:MEA_c_4,B,153.35
C06-M09.tif:MEA_c_3,B,279.11
C06-M09.tif:Nacc_r_1,B,1053.83
C06-M09.tif:Nacc_r_2,B,999.52
C06-M09.tif:Nacc_c_2,B,311.73
C06-M09.tif:Nacc_c_1,B,441.99
C06-M09.tif:LS_l_3,B,535.26
C06-M09.tif:LS_r_3,B,713.51
C06-M09.tif:LS_c_3,B,169.49
C06-M09.tif:PiC_r_3,B,426.07
C06-M09.tif:PiC_l_3,B,686.39
C06-M09.tif:MEA_r_3,B,944.73
C06-M09.tif:MEA_c_5,B,306.67
C06-M09.tif:MEA_c_6,B,159.18
C06-M09.tif:MEA_c_7,B,201.31
C11-M03.tif:Ls_r_1,B,1211.66
C11-M03.tif:Ls_l_1,B,1104.52
C11-M03.tif:Ls_c_1,B,183.06
C11-M03.tif:Ls_r_2,B,1071.86
C11-M03.tif:Ls_l_2,B,1030.32
C11-M03.tif:Ls_c_2,B,215.09
C11-M03.tif:Ls_r_3,B,983.32
C11-M03.tif:Ls_l_3,B,884.52
C11-M03.tif:LS_c_3,B,79.78
C11-M03.tif:MEA_r_2,B,985.85
C11-M03.tif:Aco_r_2,B,1393.32
C11-M03.tif:MEA_c_2,B,86.78
C11-M03.tif:MEA_r_4,B,984.3
C11-M03.tif:Aco_r_4,B,1468.7
C11-M03.tif:MEA_c_4,B,95.28
C11-M03.tif:MEA_r_3,B,837.54
C11-M03.tif:Aco_r_3,B,1273.33
C11-M03.tif:MEA_l_3,B,898.68
C11-M03.tif:Aco_l_3,B,1059.28
C11-M03.tif:MEA_c_3,B,115.24
C11-M03.tif:MEA_l_1,B,698.26
C11-M03.tif:Aco_l_1,B,981.09
C11-M03.tif:MEA_c_1,B,83.36
C11-M03.tif:MEA_l_5,B,732.39
C11-M03.tif:Aco_l_2,B,699.38
C11-M03.tif:MEA_c_5,B,81
C11-M03.tif:PiC_r_6,B,410.22
C11-M03.tif:PiC_l_6,B,735.63
C11-M03.tif:PiC_r_4,B,704.66
C11-M03.tif:PiC_l_4,B,667.55
C11-M03.tif:Nacc_l_1,B,1287.13
C11-M03.tif:Nacc_r_1,B,1102.96
C11-M03.tif:Nacc_c_1,B,224.64
C11-M03.tif:Nacc_l_2,B,1107.56
C11-M03.tif:Nacc_r_2,B,1122.19
C11-M03.tif:Nacc_c_2,B,159.58
C11-M03.tif:Nacc_l_3,B,1171.31
C11-M03.tif:Nacc_r_3,B,959.72
C11-M03.tif:Nacc_c_3,B,225
C11-M03.tif:AON_r_1,B,909.91
C11-M03.tif:AON_l_1,B,965.06
C11-M03.tif:AON_c_1,B,135.03
C11-M03.tif:AON_l_2,B,939.23
C11-M03.tif:AON_r_2,B,967.53
C11-M03.tif:AON_c_2,B,122.71
C11-M03.tif:AON_r_3,B,996.23
C11-M03.tif:AON_l_3,B,1186.4
C11-M03.tif:AON_c_3,B,145.69
C11-M03.tif:LS_c_4,B,127.05
C11-M03.tif:PiC_l_5,B,589.63
C11-M03.tif:PiC_r_5,B,717.06
C11-M03.tif:LS_c_5,B,93.46
C11-M03.tif:LS_c_6,B,126.71
C12-M01.tif:MEA_l_1,B,1220.86
C12-M01.tif:Aco_l_1,B,1384.67
C12-M01.tif:MEA_c_1,B,263.22
C12-M01.tif:MEA_r_1,B,1331.14
C12-M01.tif:Aco_r_1,B,1375.38
C12-M01.tif:MEA_l_2,B,1247.67
C12-M01.tif:Aco_l_2,B,1661.06
C12-M01.tif:MEA_l_3,B,1106.05
C12-M01.tif:Aco_l_3,B,1651.95
C12-M01.tif:MEA_c_3,B,175.89
C12-M01.tif:MEA_r_3,B,986.37
C12-M01.tif:Aco_r_3,B,1225.21
C12-M01.tif:MEA_r_2,B,952.79
C12-M01.tif:Aco_r_2,B,1272.43
C12-M01.tif:MEA_c_2,B,188.13
C12-M01.tif:Nacc_l_1,B,641.25
C12-M01.tif:Nacc_r_1,B,846.65
C12-M01.tif:Nacc_c_1,B,195.94
C12-M01.tif:Nacc_l_2,B,209.35
C12-M01.tif:Nacc_c_2,B,575.21
C12-M01.tif:Nacc_r_2,B,389.24
C12-M01.tif:Nacc_l_3,B,975.23
C12-M01.tif:Nacc_r_3,B,668.59
C12-M01.tif:Nacc_c_3,B,375.01
C12-M01.tif:AON_l_1,B,966.71
C12-M01.tif:AON_r_2,B,804.69
C12-M01.tif:AON_c_2,B,348.75
C12-M01.tif:LS_l_1,B,706.77
C12-M01.tif:LS_l_2,B,814.86
C12-M01.tif:LS_r_2,B,694.72
C12-M01.tif:AON_r_1,B,1004.87
C12-M01.tif:AON_c_1,B,290.72
C12-M01.tif:AON_l_2,B,686.43
C12-M01.tif:LS_c_1,B,131.56
C12-M01.tif:LS_c_2,B,168.55
C12-M01.tif:AON_l_3,B,924.91
C12-M01.tif:AON_c_3,B,187.18
