Label,Film,Mean,Region,Order,Section
C11-M02.tif:5006-0696,A,751.3,BLA,1,a
C11-M02.tif:5066-0671,A,158.04,control,1,a
C11-M02.tif:5033-1054,A,639.81,BLA,1,a
C11-M02.tif:5083-0996,A,125.62,control,1,a
C11-M02.tif:5027-1386,A,925.17,BLA,2,b
C11-M02.tif:5106-1372,A,106.32,control,2,b
C11-M02.tif:5957-0727,A,761.72,BLA,2,b
C11-M02.tif:5908-0694,A,125.43,control,2,b
C11-M02.tif:5969-1060,A,898.08,BLA,3,c
C11-M02.tif:5926-1002,A,116.98,control,3,c
C11-M02.tif:5979-1396,A,760.22,BLA,3,c
C11-M02.tif:5937-1347,A,145.36,control,3,c
C11-M04.tif:3010-0255,A,1120.98,BLA,1,a
C11-M04.tif:3000-0423,A,339.76,control,1,a
C11-M04.tif:3022-0623,A,1054.62,BLA,1,a
C11-M04.tif:2887-0674,A,177.6,control,1,a
C11-M04.tif:2991-0982,A,1107.74,BLA,2,b
C11-M04.tif:2923-1084,A,134.37,control,2,b
C11-M04.tif:1959-1141,A,1006.44,BLA,2,b
C11-M04.tif:2039-1180,A,143.69,control,2,b
C11-M04.tif:1964-1467,A,1027.35,BLA,3,c
C11-M04.tif:2013-1513,A,168.13,control,3,c
C11-M04.tif:1966-1792,A,920.35,BLA,3,c
C11-M04.tif:2096-1860,A,142.62,control,3,c
C12-M11.tif:0831-1049,A,942.32,BLA,1,a
C12-M11.tif:0795-0969,A,286.55,control,1,a
C12-M11.tif:1190-1046,A,908.58,BLA,1,a
C12-M11.tif:1157-0984,A,195.43,control,1,a
C12-M11.tif:1561-1051,A,905.59,BLA,2,b
C12-M11.tif:1572-0964,A,176.66,control,2,b
C12-M11.tif:2682-0806,A,980.58,BLA,2,b
C12-M11.tif:2674-0929,A,132.63,control,2,b
C12-M11.tif:2259-0742,A,968.44,BLA,3,c
C12-M11.tif:2271-0946,A,338.82,control,3,c
C12-M11.tif:1942-0714,A,1040.61,BLA,3,c
C12-M11.tif:1925-0801,A,205.35,control,3,c
C52-M05.tif:1872-2495,A,1005.27,BLA,1,a
C52-M05.tif:1939-2547,A,221.49,control,1,a
C52-M05.tif:2771-2357,A,699.81,BLA,1,a
C52-M05.tif:2743-2451,A,84.1,control,1,a
C52-M05.tif:2395-1621,A,835.24,BLA,2,b
C52-M05.tif:2504-1653,A,186.26,control,2,b
C52-M05.tif:3375-0780,A,900.73,BLA,2,b
C52-M05.tif:3369-0883,A,224.88,control,2,b
C52-M05.tif:2376-1309,A,744.87,BLA,3,c
