Label,Film,Mean,Region,Order,Section
C07-M02.tif:3032-4322,A,1450.34,LSr_d,1,a
C07-M02.tif:3036-4278,A,980.22,LSr_v,1,a
C07-M02.tif:3080-4300,A,1352.87,LSr_d,1,a
C07-M02.tif:3087-4270,A,900.57,LSr_v,1,a
C07-M02.tif:3051-4190,A,1372.75,DB,1,a
C07-M02.tif:3080-4178,A,1374.88,DB,1,a
C07-M02.tif:2958-4275,A,174.54,control,1,a
C07-M02.tif:2319-5473,A,1430.63,LSr_d,2,b
C07-M02.tif:2330-5423,A,999.07,LSr_v,2,b
C07-M02.tif:2379-5448,A,1480.83,LSr_d,2,b
C07-M02.tif:2389-5400,A,853.99,LSr_v,2,b
C07-M02.tif:2334-5314,A,1073.69,DB,2,b
C07-M02.tif:2389-5310,A,1205.64,DB,2,b
C07-M02.tif:2429-5383,A,202.53,control,2,b
C07-M02.tif:2341-5098,A,1394.53,LSr_d,3,c
C07-M02.tif:2346-5052,A,678.83,LSr_v,3,c
C07-M02.tif:2396-5062,A,1444.43,LSr_d,3,c
C07-M02.tif:2402-5014,A,769.21,LSr_v,3,c
C07-M02.tif:2396-4950,A,1207.82,DB,3,c
C07-M02.tif:2339-4962,A,1105.64,DB,3,c
C07-M02.tif:2299-5025,A,81.46,control,3,c
C07-M02.tif:1809-6190,A,1212.8,LSc,1,d
C07-M02.tif:1745-6132,A,1164.66,LSc,1,d
C07-M02.tif:1738-6024,A,1022.29,LPO,1,d
C07-M02.tif:1839-6016,A,957.15,LPO,1,d
C07-M02.tif:1856-6141,A,102.08,control,1,d
C07-M02.tif:1675-5854,A,1078.4,LSc,2,e
C07-M02.tif:1749-5840,A,1229.22,LSc,2,e
C07-M02.tif:1670-5796,A,1242.15,LPO,2,e
C07-M02.tif:1745-5772,A,1142.73,LPO,2,e
C07-M02.tif:1841-5843,A,223.18,control,2,e
C07-M02.tif:1813-5593,A,1398.14,LSc,3,f
C07-M02.tif:1816-5572,A,1330.92,LSc,3,f
C07-M02.tif:1704-5445,A,946.72,LPO,3,f
